video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes
dQw4w9WgXcQ,2021-01-01,Never Gonna Give You Up,Rick Astley,10,2009-10-25T07:03:00Z,"music,pop,classic",1234567890,12345678,123456
j9V78UbdzWI,2021-01-01,Despacito,Luis Fonsi,10,2017-01-13T08:00:00Z,"music,latin,pop",8765432109,87654321,876543
kJQP7kiw5Fk,2021-01-01,See You Again,Wiz Khalifa,10,2015-04-06T15:00:00Z,"music,rap,tribute",7654321098,76543210,765432
9bZkp7q19f0,2021-01-01,Gangnam Style,PSY,10,2012-07-15T10:00:00Z,"music,kpop,dance",6543210987,65432109,654321
iCkYw3cRwLo,2021-01-02,Shape of You,Ed Sheeran,10,2017-01-30T09:00:00Z,"music,pop,acoustic",5432109876,54321098,543210
OPf0YbXqDm0,2021-01-02,Uptown Funk,Mark Ronson,10,2014-11-19T14:00:00Z,"music,funk,pop",4321098765,43210987,432109
9vMLTcftlyI,2021-01-02,Sugar,Maroon 5,10,2015-01-14T16:00:00Z,"music,pop,wedding",3210987654,32109876,321098
2Vv-BfVoq4g,2021-01-02,Perfect,Ed Sheeran,10,2017-11-01T12:00:00Z,"music,pop,love",2109876543,21098765,210987
JGwWNGJdvx8,2021-01-03,Sorry,Justin Bieber,10,2015-10-22T13:00:00Z,"music,pop,dance",1098765432,10987654,109876
fRh_vgS2dFE,2021-01-03,Shake It Off,Taylor Swift,10,2014-08-18T17:00:00Z,"music,pop,dance",987654321,9876543,98765
RgKAFK5djSk,2021-01-03,Counting Stars,OneRepublic,10,2013-05-31T11:00:00Z,"music,pop,rock",876543210,8765432,87654
YQHsXMglC9A,2021-01-03,Hello,Adele,10,2015-10-23T06:00:00Z,"music,pop,ballad",765432109,7654321,76543
nfWlot6h_JM,2021-01-04,Bad Blood,Taylor Swift,10,2015-05-17T18:00:00Z,"music,pop,action",654321098,6543210,65432
09R8_2nJtjg,2021-01-04,Sugar,Maroon 5,10,2015-01-14T16:00:00Z,"music,pop,wedding",543210987,5432109,54321
HP8YPGGek9M,2021-01-04,Roar,Katy Perry,10,2013-09-05T19:00:00Z,"music,pop,empowerment",432109876,4321098,43210
aJOTlE1K90k,2021-01-04,Girls Like You,Maroon 5,10,2018-05-31T20:00:00Z,"music,pop,featuring",321098765,3210987,32109
JRfuAukYTKg,2021-01-05,Thunder,Imagine Dragons,10,2017-05-03T21:00:00Z,"music,rock,electronic",210987654,2109876,21098
CevxZvSJLk8,2021-01-05,Roar,Katy Perry,10,2013-09-05T19:00:00Z,"music,pop,empowerment",109876543,1098765,10987
hT_nvWreIhg,2021-01-05,Counting Stars,OneRepublic,10,2013-05-31T11:00:00Z,"music,pop,rock",98765432,987654,9876
60ItHLz5WEA,2021-01-05,Faded,Alan Walker,10,2015-12-03T22:00:00Z,"music,edm,electronic",87654321,876543,8765
